N;alimento;kcal;proteina;lipideos;colesterol;carboidrato;fibras;sodio;categoria
94;EMPADA DE FRANGO PRE-COZIDA;377.00;7.30;22.90;23.00;35.50;2.20;771.00;Carnes e derivados
95;FRANGO FILE A MILANESA;221.00;28.50;7.80;84.00;7.50;1.10;122.00;Carnes e derivados
96;FRANGO PEITO SEM PELE COZIDO;163.00;31.50;3.20;89.00;0.00;0.0;36.00;Carnes e derivados
97;FRANGO PEITO SEM PELE CRU;119.00;21.50;3.00;59.00;0.00;0.0;56.00;Carnes e derivados
98;FRANGO PEITO SEM PELE GRELHADO;159.00;32.00;2.50;89.00;0.00;0.0;50.00;Carnes e derivados
99;FRANGO SOBRECOXA SEM PELE ASSADA;233.00;29.20;12.00;145.00;0.00;0.0;106.00;Carnes e derivados
100;FRANGO SOBRECOXA SEM PELE CRUA;162.00;17.60;9.60;84.00;0.00;0.0;80.00;Carnes e derivados
101;PORCO BISTECA CRUA;164.00;21.50;8.00;56.00;0.00;0.0;54.00;Carnes e derivados
102;PORCO BISTECA GRELHADA;280.00;28.90;17.40;82.00;0.00;0.0;51.00;Carnes e derivados
103;PORCO COSTELA ASSADA;402.00;30.20;30.30;113.00;0.00;0.0;63.00;Carnes e derivados
104;PORCO COSTELA CRUA;256.00;18.00;19.80;69.00;0.00;0.0;88.00;Carnes e derivados
105;PORCO LOMBO ASSADO;210.00;35.70;6.40;103.00;0.00;0.0;39.00;Carnes e derivados
106;PORCO LOMBO CRU;176.00;22.60;8.80;55.00;0.00;0.0;53.00;Carnes e derivados
107;PORCO PERNIL ASSADO;262.00;32.10;13.90;110.00;0.00;0.0;62.00;Carnes e derivados
108;PORCO PERNIL CRU;186.00;20.10;11.10;59.00;0.00;0.0;102.00;Carnes e derivados
109;BEBIDA LACTEA PESSEGO;55.00;2.10;1.90;5.00;7.60;0.30;46.00;Leite e derivados
110;CREME DE LEITE;221.00;1.50;22.50;66.00;4.50;0.0;52.00;Leite e derivados
111;IOGURTE NATURAL;51.00;4.10;3.00;14.00;1.90;0.0;52.00;Leite e derivados
112;IOGURTE NATURAL DESNATADO;41.00;3.80;0.30;3.00;5.80;0.0;60.00;Leite e derivados
113;IOGURTE SABOR MORANGO;70.00;2.70;2.30;7.00;9.70;0.20;38.00;Leite e derivados
114;IOGURTE SABORPESSEGO;68.00;2.50;2.30;8.00;9.40;0.70;37.00;Leite e derivados
115;LEITE DE CABRA;66.00;3.10;3.80;14.00;5.20;0.0;74.00;Leite e derivados
116;LEITE DE VACA ACHOCOLATADO;83.00;2.10;2.20;6.00;14.20;0.60;72.00;Leite e derivados
117;LEITE DE VACA DESNATADO PO;362.00;34.70;0.90;25.00;53.00;0.0;432.00;Leite e derivados
118;LEITE DE VACA INTEGRAL PO;497.00;25.40;26.90;85.00;39.20;0.0;323.00;Leite e derivados
119;LEITE FERMENTADO;70.00;1.90;0.10;2.00;15.70;0.0;33.00;Leite e derivados
120;QUEIJO MINAS FRESCAL;264.00;17.40;20.20;62.00;3.20;0.0;31.00;Leite e derivados
121;QUEIJO MINAS MEIA CURA;321.00;21.20;24.60;76.00;3.60;0.0;501.00;Leite e derivados
122;QUEIJO MOZARELA;330.00;22.60;25.20;80.00;3.00;0.0;581.00;Leite e derivados
123;QUEIJO PARMESAO;453.00;35.60;33.50;106.00;1.70;0.0;1844.00;Leite e derivados
124;QUEIJO PASTEURIZADO;303.00;9.40;27.40;82.00;5.70;0.0;780.00;Leite e derivados
125;QUEIJO PETIT SUISSE MORANGO;121.00;5.80;2.80;12.00;18.50;0.0;412.00;Leite e derivados
126;QUEIJO PRATO;360.00;22.70;29.10;91.00;1.90;0.0;580.00;Leite e derivados
127;QUEIJO REQUEIJAO CREMOSO;257.00;9.60;23.40;74.00;2.40;0.0;558.00;Leite e derivados
128;QUEIJO RICOTA;140.00;12.60;8.10;49.00;3.80;0.0;283.00;Leite e derivados
129;BEBIDA ISOTONICA SABORES VARIADOS;26.00;0.00;0.00;0.0;6.40;0.0;44.00;Bebidas (alcoolicas e nao alcoolicas)
130;CAFE INFUSAO 10%;9.00;0.70;0.10;0.0;1.50;0.0;1.00;Bebidas (alcoolicas e nao alcoolicas)
131;CANA CALDO DE;65.00;0.0;0.0;0.0;18.20;0.10;0.0;Bebidas (alcoolicas e nao alcoolicas)
132;CHA ERVA-DOCE INFUSAO 5%;1.00;0.00;0.00;0.0;0.40;0.0;1.00;Bebidas (alcoolicas e nao alcoolicas)
133;CHA MATE INFUSAO 5%;3.00;0.00;0.10;0.0;0.60;0.0;0.0;Bebidas (alcoolicas e nao alcoolicas)
134;CHA PRETO INFUSAO 5%;2.00;0.00;0.00;0.0;0.60;0.0;0.0;Bebidas (alcoolicas e nao alcoolicas)
135;AGUA DE COCO;22.00;0.00;0.00;0.0;5.30;0.10;2.00;Bebidas (alcoolicas e nao alcoolicas)
136;OMELETE DE QUEIJO;268.00;15.60;22.00;384.00;0.40;0.0;216.00;Ovos e derivados
