;alimento;kcal;proteina;lipideos;carboidrato;fibras
116;LEITE DE VACA DESNATADO PO;362.0;34.7;0.9;53.0;0.0
117;LEITE DE VACA INTEGRAL PO;497.0;25.4;26.9;39.2;0.0
118;LEITE FERMENTADO;70.0;1.9;0.1;15.7;0.0
119;QUEIJO MINAS FRESCAL;264.0;17.4;20.2;3.2;0.0
120;QUEIJO MINAS MEIA CURA;321.0;21.2;24.6;3.6;0.0
121;QUEIJO MOZARELA;330.0;22.6;25.2;3.0;0.0
122;QUEIJO PARMESAO;453.0;35.6;33.5;1.7;0.0
123;QUEIJO PASTEURIZADO;303.0;9.4;27.4;5.7;0.0
124;QUEIJO PETIT SUISSE MORANGO;121.0;5.8;2.8;18.5;0.0
125;QUEIJO PRATO;360.0;22.7;29.1;1.9;0.0
126;QUEIJO REQUEIJAO CREMOSO;257.0;9.6;23.4;2.4;0.0
127;QUEIJO RICOTA;140.0;12.6;8.1;3.8;0.0
128;BEBIDA ISOTONICA SABORES VARIADOS;26.0;0.0;0.0;6.4;0.0
129;CAFE INFUSAO 10%;9.0;0.7;0.1;1.5;0.0
130;CANA CALDO DE;65.0;0.0;0.0;18.2;0.1
131;CHA ERVA-DOCE INFUSAO 5%;1.0;0.0;0.0;0.4;0.0
132;CHA MATE INFUSAO 5%;3.0;0.0;0.1;0.6;0.0
133;CHA PRETO INFUSAO 5%;2.0;0.0;0.0;0.6;0.0
134;AGUA DE COCO;22.0;0.0;0.0;5.3;0.1
135;OMELETE DE QUEIJO;268.0;15.6;22.0;0.4;0.0
136;OVO DE CODORNA INTEIRO CRU;177.0;13.7;12.7;0.8;0.0
137;OVO DE GALINHA CLARA COZIDA/10MINUTOS;59.0;13.4;0.1;0.0;0.0
138;OVO DE GALINHA GEMA COZIDA/10MINUTOS;353.0;15.9;30.8;1.6;0.0
139;OVO DE GALINHA INTEIRO COZIDO/10MINUTOS;146.0;13.3;9.5;0.6;0.0
140;OVO DE GALINHA INTEIRO CRU;143.0;13.0;8.9;1.6;0.0
141;OVO DE GALINHA INTEIRO FRITO;240.0;15.6;18.6;1.2;0.0
142;ACHOCOLATADO PO;401.0;4.2;2.2;91.2;3.9
143;ACUCAR MASCAVO;369.0;0.8;0.1;94.5;0.0
144;CHOCOLATE AO LEITE;540.0;7.2;30.3;59.6;2.2
145;CHOCOLATE AO LEITE COM CASTANHA DO PARA;559.0;7.4;34.2;55.4;2.5
146;CHOCOLATE AO LEITE DIETETICO;557.0;6.9;33.8;56.3;2.8
147;CHOCOLATE MEIO AMARGO;475.0;4.9;29.9;62.4;4.9
148;COCADA BRANCA;449.0;1.1;13.6;81.4;3.6
149;DOCE DEABOBORA CREMOSO;199.0;0.9;0.2;54.6;2.3
150;DOCE DE LEITE CREMOSO;306.0;5.5;6.0;59.5;0.0
151;MEL DE ABELHA;309.0;0.0;0.0;84.0;0.0
152;MELADO;297.0;0.0;0.0;76.6;0.0
153;QUINDIM;411.0;4.7;24.4;46.3;3.2
154;RAPADURA;352.0;1.0;0.1;90.8;0.0
155;CAFE PO TORRADO;419.0;14.7;11.9;65.8;51.2
156;CAPUCCINO PO;417.0;11.3;8.6;73.6;2.4
157;FERMENTO EM PO QUIMICO;90.0;0.5;0.1;43.9;0.0
158;FERMENTO BIOLOGICO LEVEDURA TABLETE;90.0;17.0;1.5;7.7;4.2
159;GELATINA SABORES VARIADOS PO;380.0;8.9;0.0;89.2;0.0
