N;Descricao dos alimentos;Energia (kcal);Proteina (g);Lipideos (g);Colesterol (mg);Carboidrato (g);Fibra Alimentar (g);Sodio (mg);Categoria
126;Queijo prato;360.00;22.70;29.10;91.00;1.90;0.0;580.00;Leite e derivados
127;Queijo requeijao cremoso;257.00;9.60;23.40;74.00;2.40;0.0;558.00;Leite e derivados
128;Queijo ricota;140.00;12.60;8.10;49.00;3.80;0.0;283.00;Leite e derivados
129;Bebida isotonica sabores variados;26.00;0.00;0.00;0.0;6.40;0.0;44.00;Bebidas (alcoolicas e nao alcoolicas)
130;Cafe infusao 10%;9.00;0.70;0.10;0.0;1.50;0.0;1.00;Bebidas (alcoolicas e nao alcoolicas)
131;Cana caldo de;65.00;0.0;0.0;0.0;18.20;0.10;0.0;Bebidas (alcoolicas e nao alcoolicas)
132;Cha erva-doce infusao 5%;1.00;0.00;0.00;0.0;0.40;0.0;1.00;Bebidas (alcoolicas e nao alcoolicas)
133;Cha mate infusao 5%;3.00;0.00;0.10;0.0;0.60;0.0;0.0;Bebidas (alcoolicas e nao alcoolicas)
134;Cha preto infusao 5%;2.00;0.00;0.00;0.0;0.60;0.0;0.0;Bebidas (alcoolicas e nao alcoolicas)
135;Agua de coco;22.00;0.00;0.00;0.0;5.30;0.10;2.00;Bebidas (alcoolicas e nao alcoolicas)
136;Omelete de queijo;268.00;15.60;22.00;384.00;0.40;0.0;216.00;Ovos e derivados
137;Ovo de codorna inteiro cru;177.00;13.70;12.70;568.00;0.80;0.0;129.00;Ovos e derivados
138;Ovo de galinha clara cozida/10minutos;59.00;13.40;0.10;0.0;0.00;0.0;181.00;Ovos e derivados
139;Ovo de galinha gema cozida/10minutos;353.00;15.90;30.80;1272.00;1.60;0.0;45.00;Ovos e derivados
140;Ovo de galinha inteiro cozido/10minutos;146.00;13.30;9.50;397.00;0.60;0.0;146.00;Ovos e derivados
141;Ovo de galinha inteiro cru;143.00;13.00;8.90;356.00;1.60;0.0;168.00;Ovos e derivados
142;Ovo de galinha inteiro frito;240.00;15.60;18.60;516.00;1.20;0.0;166.00;Ovos e derivados
143;Achocolatado po;401.00;4.20;2.20;0.0;91.20;3.90;65.00;Produtos acucarados
144;Acucar mascavo;369.00;0.80;0.10;0.0;94.50;0.0;25.00;Produtos acucarados
145;Chocolate ao leite;540.00;7.20;30.30;17.00;59.60;2.20;77.00;Produtos acucarados
146;Chocolate ao leite com castanha do Par�;559.00;7.40;34.20;16.00;55.40;2.50;64.00;Produtos acucarados
147;Chocolate ao leite dietetico;557.00;6.90;33.80;13.00;56.30;2.80;85.00;Produtos acucarados
148;Chocolate meio amargo;475.00;4.90;29.90;2.00;62.40;4.90;9.00;Produtos acucarados
149;Cocada branca;449.00;1.10;13.60;0.0;81.40;3.60;29.00;Produtos acucarados
150;Doce deabobora cremoso;199.00;0.90;0.20;0.0;54.60;2.30;0.0;Produtos acucarados
151;Doce de leite cremoso;306.00;5.50;6.00;20.00;59.50;0.0;120.00;Produtos acucarados
152;Mel de abelha;309.00;0.00;0.00;0.0;84.00;0.0;6.00;Produtos acucarados
153;Melado;297.00;0.00;0.00;0.0;76.60;0.0;4.00;Produtos acucarados
154;Quindim;411.00;4.70;24.40;271.00;46.30;3.20;27.00;Produtos acucarados
155;Rapadura;352.00;1.00;0.10;0.0;90.80;0.0;22.00;Produtos acucarados
156;Cafe po torrado;419.00;14.70;11.90;0.0;65.80;51.20;1.00;Miscelaneas
157;Capuccino po;417.00;11.30;8.60;29.00;73.60;2.40;382.00;Miscelaneas
158;Fermento em po quimico;90.00;0.50;0.10;0.0;43.90;0.0;10052.00;Miscelaneas
159;Fermento biologico levedura tablete;90.00;17.00;1.50;0.0;7.70;4.20;40.00;Miscelaneas
160;Gelatina sabores variados po;380.00;8.90;0.0;0.0;89.20;0.0;235.00;Miscelaneas
161;Sal dietetico;0.0;0.0;0.0;0.0;0.0;0.0;23432.00;Miscelaneas
162;Sal grosso;0.0;0.0;0.0;0.0;0.0;0.0;39943.00;Miscelaneas
163;Shoyu;61.00;3.30;0.30;0.0;11.60;0.0;5024.00;Miscelaneas
164;Tempero a base de sal;21.00;2.70;0.30;0.0;2.10;0.60;32560.00;Miscelaneas
165;Cuscuz de milho cozido com sal;113.00;2.20;0.70;0.0;25.30;2.10;248.00;Alimentos preparados
166;Cuscuz paulista;142.00;2.60;4.60;15.00;22.50;2.40;236.00;Alimentos preparados
167;Dobradinha;125.00;19.80;4.40;144.00;0.00;0.0;29.00;Alimentos preparados
168;Estrogonofe de carne;173.00;15.00;10.80;66.00;3.00;0.0;123.00;Alimentos preparados
169;Estrogonofe de frango;157.00;17.60;8.00;80.00;2.60;0.0;99.00;Alimentos preparados
